Decoy,HostName,Failure Rate,New Flows,Failed Decoys
Daily Average,*,0.15325419902676762,453114,82010
35.9.37.60,Unknown,0,9,0
35.8.152.36,Unknown,0,7,0
35.8.7.154,Unknown,0,6,0
35.8.53.38,Unknown,0,6,0
74.115.237.126,Unknown,0,5,0
164.76.4.129,Unknown,0,5,0
35.9.18.7,Unknown,0,5,0
35.8.12.116,Unknown,0,5,0
35.8.48.200,Unknown,0,4,0
192.122.184.166,Unknown,0,4,0
141.214.186.75,Unknown,0,4,0
35.9.12.9,Unknown,0,4,0
35.8.7.98,Unknown,0,4,0
35.9.18.66,Unknown,0,4,0
141.211.218.121,Unknown,0,4,0
141.213.3.47,Unknown,0,3,0
161.57.12.3,Unknown,0,3,0
198.110.48.199,Unknown,0,3,0
164.76.4.193,Unknown,0,3,0
35.8.140.59,Unknown,0,3,0
198.109.227.22,Unknown,0,3,0
66.219.121.132,Unknown,0,3,0
198.109.24.155,Unknown,0,2,0
207.75.117.70,Unknown,0,2,0
141.211.218.117,Unknown,0,2,0
207.74.195.31,Unknown,0,2,0
198.111.176.8,Unknown,0,2,0
204.39.94.32,Unknown,0,2,0
192.108.188.106,Unknown,0,2,0
66.219.122.132,Unknown,0,2,0
207.75.117.26,Unknown,0,2,0
204.39.195.9,Unknown,0,2,0
141.213.3.140,Unknown,0,2,0
141.211.169.56,Unknown,0,2,0
35.9.123.23,Unknown,0,2,0
198.110.48.192,Unknown,0,2,0
141.219.188.21,Unknown,0,2,0
141.211.184.175,Unknown,0,1,0
198.110.129.21,Unknown,0,1,0
141.214.186.36,Unknown,0,1,0
204.38.89.203,Unknown,0,1,0
35.8.7.133,Unknown,0,1,0
141.211.186.140,Unknown,0,1,0
204.38.32.30,Unknown,0,1,0
141.217.21.80,Unknown,0,1,0
204.39.195.18,Unknown,0,1,0
141.211.184.170,Unknown,0,1,0
66.219.121.11,Unknown,0,1,0
141.211.185.69,Unknown,0,1,0
198.110.48.195,Unknown,0,1,0
207.75.117.164,Unknown,0,1,0
207.75.116.29,Unknown,0,1,0
207.75.127.199,Unknown,0,1,0
207.75.116.47,Unknown,0,1,0
192.138.137.147,Unknown,0,1,0
198.111.183.155,Unknown,0,1,0
208.68.25.46,Unknown,0,1,0
164.76.4.139,Unknown,0,1,0
35.9.102.82,osa.isp.msu.edu,0.0030188679245283017,2642,8
35.9.102.72,redmine.isp.msu.edu,0.0035371399696816574,3944,14
35.9.102.119,login.isp.msu.edu,0.004555808656036446,1748,8
35.8.12.31,academicprofile.msu.edu,0.005294117647058823,1691,9
35.8.224.171,web6.cal.msu.edu,0.005479452054794521,1089,6
35.8.12.177,itservices.msu.edu,0.0054858934169279,1269,7
35.8.12.213,webhosting11.itservices.msu.edu,0.005870841487279843,2540,15
35.9.170.20,beta.advancement.msu.edu,0.006,1491,9
35.8.12.54,webhosting4.itservices.msu.edu,0.006179196704428424,1930,12
35.9.15.159,www.webhosting2.itservices.msu.edu,0.006845965770171149,2031,14
35.12.130.113,eamcweb3.usfs.msu.edu,0.00694006309148265,1574,11
35.8.100.228,s10.lite.msu.edu,0.007001166861143524,2553,18
35.12.130.41,*.firelab.org,0.007633587786259542,1170,9
35.8.12.168,webhosting4.itservices.msu.edu,0.007637752318603383,1819,14
35.8.202.28,maps.gmsts.org,0.007741027445460943,1410,11
35.8.12.154,webhosting10.itservices.msu.edu,0.007792207792207792,1910,15
35.8.12.122,webhosting4.itservices.msu.edu,0.007874015748031496,2268,18
35.8.12.219,www.selfcheck.webapp.msu.edu,0.008021390374331552,1484,12
35.9.15.155,www.webhosting2.itservices.msu.edu,0.008152173913043478,1460,12
35.8.12.120,webhosting4.itservices.msu.edu,0.00851063829787234,2563,22
35.9.188.115,neighborhoods.rhs.msu.edu,0.008714596949891068,1365,12
35.8.7.165,webhosting6.itservices.msu.edu,0.008884501480750246,1004,9
35.8.12.162,spartanpartners.msu.edu,0.009163802978235968,1730,16
35.8.12.251,www.webhosting2.itservices.msu.edu,0.009265387160820648,1497,14
